brand,model_number,model_name,year,randomdata,model_search
Hitachi,Discover XM 40,4WD Tractor,2010,1639,DiscoverXM40
New Holland,325B LL,Wheel Loader,2013,1386,325BLL
Komatsu,2800 Quantum,4WD Tractor,2010,1117,2800Quantum
Komatsu,40XT1059,4WD Tractor,2014,1059,40XT1059
Case IH,Vio55-5B,Harrow,2003,1846,Vio55-5B
Volvo,2161476,4WD Tractor,2005,1476,2161476
John Deere,644J Waste Handler High-Lift,Cold Planer,2004,1043,644JWasteHandlerHigh-Lift
New Holland,EC210NLC,Rock Truck,2007,1753,EC210NLC
Caterpillar,CX2901682,Combine,2019,1682,CX2901682
Case,412S1199,Skid Steer Loader,2011,1199,412S1199
JCB,2486N1056,Baler,2000,1056,2486N1056
Takeuchi,D95 WT,Midi Excavator,2019,1194,D95WT
Caterpillar,220X LC,Skidder,2017,1627,220XLC
John Deere,485 Kompakt,Combine,2007,1495,485Kompakt
Doosan,772G1834,Crawler Tractor,2012,1834,772G1834
Case,5115ML,Skid Steer Loader,2014,1164,5115ML
MacDon,26251386,Asphalt Paver,2000,1386,26251386
Kubota,PM313 Track Undercarriage,Skid Steer Loader,2016,1054,PM313TrackUndercarriage
John Deere,644H Waste Handler,4WD Tractor,2001,1187,644HWasteHandler
Case,HL757-9A,4WD Tractor,2003,1112,HL757-9A
Caterpillar,6430 Premium Cab Tractor,Vibratory Smooth Drum Roller,2010,1303,6430PremiumCabTractor
John Deere,12021155,4WD Tractor,2010,1155,12021155
Caterpillar,M7-131P-KVT,4WD Tractor,2009,1488,M7-131P-KVT
Krause,E17C1862,Vibratory Smooth Drum Roller,2006,1862,E17C1862
JCB,Quadrant 3200 RC,Sprayer,2010,1310,Quadrant3200RC
Massey Ferguson,1532 4WD Platform,Wheel Loader,2010,1676,15324WDPlatform
Ammann,Commander 4400 DELTA,MFWD Tractor,2005,1848,Commander4400DELTA
Komatsu,320B N,Hydraulic Excavator,2013,1336,320BN
Burch,ATX400 39ft,Skidder,2013,1223,ATX40039ft
Krause,RD200C,Swather,2007,1237,RD200C
John Deere,D95S-1,Vibratory Smooth Drum Roller,2005,1828,D95S-1
AGCO,LM6211662,Log Loader,2017,1662,LM6211662
New Holland,748E1997,Wheel Loader,2000,1997,748E1997
Hamm,7501501,Hydraulic Excavator,2015,1501,7501501
Taylor Way,M108S1505,2WD Tractor,2000,1505,M108S1505
Caterpillar,Farmall 95C,Air Drill,2015,1178,Farmall95C
Sunflower,966H1909,Forwarder,2019,1909,966H1909
Vermeer,5055E1576,Multi Terrain Loader,2016,1576,5055E1576
Hardi,CR7090,Crawler Tractor,2019,1364,CR7090
Case IH,336E H Hybrid,4WD Tractor,2007,1648,336EHHybrid
New Holland,MT665C,Baler,2005,1930,MT665C
JCB,Commander 6600 FORCE,Articulated Dump Truck,2005,1401,Commander6600FORCE
Ezee-On,505M Classic,Articulated Dump Truck,2009,1721,505MClassic
Hesston,CX17C1276,Combine,2005,1276,CX17C1276
Hitachi,S8501000,Vibratory Compactor,2005,1000,S8501000
Fendt,T4.90F,Midi Excavator,2000,1437,T4.90F
Caterpillar,SR2001023,Crawler Tractor,2017,1023,SR2001023
Krause,TD95D High-Clearance,Asphalt Paver,2004,1963,TD95DHigh-Clearance
Washburn,T9.700,Pneumatic Roller,2014,1547,T9.700
Venieri,Optimer 6001,Rock Truck,2017,1957,Optimer6001
Dynapac,313F1118,Vibratory Smooth Drum Roller,2001,1118,313F1118
Case IH,40001239,Wheel Loader,2000,1239,40001239
Komatsu,T7.245 Classic,Hydraulic Excavator,2018,1949,T7.245Classic
Hesston,GC1720,4WD Tractor,2010,1931,GC1720
Tata Hitachi,T7.230 SideWinder II,Mobile Excavator,2014,1018,T7.230SideWinderII
John Deere,H250B1965,Skid Steer Loader,2017,1965,H250B1965
Yanmar,5093E Limited,Hydraulic Excavator,2003,1797,5093ELimited
Ezee-On,821FXR,Mini Excavator,2000,1485,821FXR
Fiat-Hitachi,2651625,Motor Grader,2006,1625,2651625
Hamm,446ZX High Lift,Skid Steer Loader,2008,1917,446ZXHighLift
JCB,4840E1915,Wheel Loader,2016,1915,4840E1915
Hamm,444J  High Lift,Vibratory Smooth Drum Roller,2013,1999,444JHighLift
Scat Trak,ZX60USB-3,Cultivator,2010,1618,ZX60USB-3
Hamm,D601520,4WD Tractor,2013,1520,D601520
New Holland,TB0151178,4WD Tractor,2011,1178,TB0151178
Caterpillar,360Kompakt,Loader Backhoe,2013,1200,360Kompakt
Ingersoll Rand,CT321814,Asphalt Paver,2012,1814,CT321814
Case IH,MT565B 2WD,4WD Tractor,2017,1227,MT565B2WD
Komatsu,Classic N101,Skid Steer Loader,2000,1853,ClassicN101
Komatsu,2601261,Crawler Tractor,2006,1261,2601261
Volvo,HD1023,4WD Tractor,2019,1438,HD1023
Hyundai,MF 5340,Mobile Excavator,2006,1963,MF5340
JCB,2705E1715,2WD Tractor,2019,1715,2705E1715
Bobcat,L190B1388,Hydraulic Excavator,2015,1388,L190B1388
Volvo,82401231,Motor Grader,2001,1231,82401231
Komatsu,65301586,Mobile Excavator,2011,1586,65301586
Volvo,80521427,Wheel Loader,2012,1427,80521427
JCB,PC600SE-6,Crawler Loader,2005,1292,PC600SE-6
Case,Axial-Flow 2577,Static Smooth Drum Roller,2003,1298,Axial-Flow2577
New Holland,DFH-1204,Motor Scraper,2017,1784,DFH-1204
Caterpillar,45901010,Midi Excavator,2006,1010,45901010
John Deere,SW171438,Crawler Loader,2012,1438,SW171438
Case,EX2600 E-6,Articulated Dump Truck,2014,1856,EX2600E-6
Salford,MF 3640,Hydraulic Excavator,2014,1670,MF3640
Ingersoll Rand,FG1051754,Mobile Excavator,2010,1754,FG1051754
Dynapac,326E1408,Sprayer,2009,1408,326E1408
Vibromax,121301248,2WD Tractor,2004,1248,121301248
John Deere,1050J1815,Hydraulic Excavator,2004,1815,1050J1815
Caterpillar,4995-34WR,Wheel Loader,2008,1092,4995-34WR
Caterpillar,7720 140 PTO HP,Crawler Tractor,2004,1893,7720140PTOHP
Caterpillar,7730 152 PTO hp,Disc,2010,1590,7730152PTOhp
Landini,EX45 HST,Rock Truck,2018,1550,EX45HST
Kubota,9460R1414,Vibratory Smooth Drum Roller,2010,1414,9460R1414
John Deere,AH400D,Vibratory Smooth Drum Roller,2019,1980,AH400D
Volvo,296 LCS LS,2WD Tractor,2007,1233,296LCSLS
Kato,CX75-LC,Pneumatic Roller,2004,1717,CX75-LC
AAA,U17-HGS,Hydraulic Excavator,2016,1774,U17-HGS
Case IH,130LX1406,Articulated Dump Truck,2013,1406,130LX1406
Massey Ferguson,17G1199,Multi Terrain Loader,2015,1199,17G1199
Steyr,921E1887,Asphalt Paver,2019,1887,921E1887
John Deere,5537-56-13-10,Baler,2006,1069,5537-56-13-10
Terex,HRB 453 DR,Swather,2006,1519,HRB453DR
Yanmar,1200T1782,4WD Tractor,2001,1782,1200T1782
Case IH,D53P-16,Disc,2017,1013,D53P-16
Caterpillar,D60A-6,MFWD Tractor,2015,1141,D60A-6
Kubota,280-1156,Disc,2003,1741,280-1156
Krause,Spra-Coupe 7660,Crawler Loader,2004,1837,Spra-Coupe7660
Caterpillar,790 ALL-PURPOSE-RIGID,Harvester,2011,1103,790ALL-PURPOSE-RIGID
Case,ZW-310,4WD Tractor,2014,1109,ZW-310
Case IH,EC4501450,Sprayer,2019,1450,EC4501450
Komatsu,A35D1449,Cultivator,2008,1449,A35D1449
Case,730C EJ,Shovel,2009,1375,730CEJ
Case IH,B7510DTN,Shovel,2003,1568,B7510DTN
Steyr,BF6615,Wheel Loader,2006,1933,BF6615
New Holland,SR2401025,Wheel Loader,2013,1025,SR2401025
Gehl,Rex 75 S,Utility Tractor,2006,1733,Rex75S
Massey Ferguson,990K1376,Hydraulic Excavator,2008,1376,990K1376
Caterpillar,ViO55-6A,Wheel Loader,2007,1202,ViO55-6A
Bomag,2746A Autocycle,Hydraulic Excavator,2018,1610,2746AAutocycle
Liebherr,T40401313,Vibratory Smooth Drum Roller,2003,1313,T40401313
Komatsu,CS6080,Hydraulic Excavator,2001,1904,CS6080
Welger,92801034,MFWD Tractor,2010,1034,92801034
Taylor Way,28001493,4WD Tractor,2014,1493,28001493
Flaman,CB151468,Midi Excavator,2019,1468,CB151468
John Deere,D6R Series III,Vibratory Smooth Drum Roller,2011,1930,D6RSeriesIII
Wil-Rich,MF 5435,2WD Tractor,2018,1932,MF5435
Landini,2680 Deluxe,Multi Terrain Loader,2008,1543,2680Deluxe
Pel-Job,HD13 VO,Vibratory Smooth Drum Roller,2013,1740,HD13VO
Gehl,PC340LC-6,Wheel Loader,2013,1451,PC340LC-6
Nagano,29561015,Disc,2015,1015,29561015
Dynapac,2500 i DELTA,MFWD Tractor,2007,1258,2500iDELTA
John Deere,AP2001160,Skid Steer Loader,2004,1160,AP2001160
Komatsu,426HT High Lift,4WD Tractor,2009,1454,426HTHighLift
Ingersoll Rand,12641102,4WD Tractor,2008,1102,12641102
Volvo,TXC180LC-2,4WD Tractor,2019,1076,TXC180LC-2
Terex,76501895,Midi Excavator,2008,1895,76501895
Doosan,2700 Quantum,Sprayer,2008,1898,2700Quantum
Caterpillar,H20i C P,Skid Steer Loader,2004,1979,H20iCP
Fendt,D6T XW VPAT,MFWD Tractor,2013,1446,D6TXWVPAT
Komatsu,2554 Road Builder,Hydraulic Excavator,2014,1556,2554RoadBuilder
Terex,960E-1,Pneumatic Roller,2018,1838,960E-1
Volvo,CX8.90,Wheel Loader,2019,1269,CX8.90
Caterpillar,220LC1560,Crawler Tractor,2004,1560,220LC1560
John Deere,M4800SU,Wheel Loader,2010,1804,M4800SU
Caterpillar,260E1387,Wheel Loader,2008,1387,260E1387
Challenger,GRW280-16,2WD Tractor,2001,1885,GRW280-16
Caterpillar,CK351856,Midi Excavator,2001,1856,CK351856
John Deere,CB24B1952,Disc,2019,1952,CB24B1952
Daewoo,J-44 2424,Wheel Loader,2011,1206,J-442424
Ingersoll Rand,PL871127,4WD Tractor,2013,1127,PL871127
Case,ZL602SiC,Vibratory Smooth Drum Roller,2012,1900,ZL602SiC
Dressta,ECR88B,Cold Planer,2008,1088,ECR88B
Vermeer,E35 25 HP,4WD Tractor,2012,1988,E3525HP
Caterpillar,EB12.4,Disc,2008,1460,EB12.4
Komatsu,ZX701221,4WD Tractor,2013,1221,ZX701221
Ammann,336E H Hybrid,Crawler Loader,2015,1124,336EHHybrid
Halla,W110TC,Hydraulic Excavator,2014,1271,W110TC
Case IH,TB0151851,Hydraulic Excavator,2001,1851,TB0151851
Ezee-On,D3001916,Crawler Tractor,2006,1916,D3001916
MacDon,ZAXIS120H,2WD Tractor,2018,1084,ZAXIS120H
New Idea,D41P-6**,4WD Tractor,2018,1220,D41P-6**
Dynapac,L4760HSTCC,Wheel Loader,2019,1057,L4760HSTCC
Dynapac,MCT135D,Crawler Tractor,2005,1190,MCT135D
Caterpillar,3039R1315,Mini Excavator,2004,1315,3039R1315
Caterpillar,WA180-3,Disc,2014,1751,WA180-3
New Holland,E57C1194,Articulated Dump Truck,2001,1194,E57C1194
Valtra,DL2001080,4WD Tractor,2002,1080,DL2001080
Kobelco,HD751819,Cold Planer,2001,1819,HD751819
Yanmar,724K1319,Vibratory Compactor,2015,1319,724K1319
Volvo,TM1551252,Hydraulic Excavator,2002,1252,TM1551252
Caterpillar,TH4260 HST,Cultivator,2004,1169,TH4260HST
Massey Ferguson,323D L,Compactor,2011,1806,323DL
Dynapac,242HVT,Vibratory Compactor,2001,1873,242HVT
JCB,T5.90 Dual Command™,Rock Truck,2014,1841,T5.90DualCommand™
Volvo,HMK300LC,Asphalt Paver,2018,1817,HMK300LC
Ursus,ZL602Si,Wheel Loader,2008,1436,ZL602Si
Hamm,550B1132,Crawler Tractor,2003,1132,550B1132
Dynapac,MT345B,Mini Excavator,2001,1312,MT345B
Salford,D5K2 Shiphold / Port Handling,Wheel Loader,2008,1749,D5K2ShipholdPortHandling
Ezee-On,VMT480,Swather,2014,1951,VMT480
Cukurova,720A1184,Loader Backhoe,2006,1184,720A1184
Schaffer,PR746 LITRONIC,Combine,2016,1012,PR746LITRONIC
Krause,MF 475,Asphalt Paver,2002,1224,MF475
Ezee-On,PR736 LGP,4WD Tractor,2003,1129,PR736LGP
Krause,3-90E1458,2WD Tractor,2012,1458,3-90E1458
Kioti,311C1331,MFWD Tractor,2009,1331,311C1331
Caterpillar,PR7521536,Motor Grader,2006,1536,PR7521536
Caterpillar,T3531599,4WD Tractor,2013,1599,T3531599
JCB,SD122D,Sprayer,2012,1667,SD122D
Caterpillar,ViO55-6A,4WD Tractor,2008,1781,ViO55-6A
Challenger,DX140W-5,Hydraulic Excavator,2006,1957,DX140W-5
New Holland,9400-8 30 2,Motor Grader,2007,1498,9400-8302
Volvo BM,TS181685,Cultivator,2015,1685,TS181685
Claas,MF 6485,Hydraulic Excavator,2017,1309,MF6485
JCB,E60C1782,Multi Terrain Loader,2002,1782,E60C1782
John Deere,L550 2plus2,2WD Tractor,2007,1404,L5502plus2
McCormick,690E1537,4WD Tractor,2018,1537,690E1537
Krause,BW100AD3,Asphalt Paver,2006,1212,BW100AD3
Krause,WA380-6 High Lift,Baler,2016,1385,WA380-6HighLift
Doosan,AXIAL-FLOW 7140,Mobile Excavator,2009,1346,AXIAL-FLOW7140
YTO,MF4709,Compactor,2006,1908,MF4709
Hitachi,STEIGER 580 WHEELED,Skid Steer Loader,2011,1309,STEIGER580WHEELED
Link-Belt,R950 SME LITRONIC,Vibratory Smooth Drum Roller,2009,1162,R950SMELITRONIC
Massey Ferguson,4995-34N,MFWD Tractor,2014,1760,4995-34N
Caterpillar,Aster 35,Wheel Loader,2014,1463,Aster35
Case IH,HD450VII,MFWD Tractor,2001,1407,HD450VII
New Holland,519 SM,Shovel,2004,1548,519SM
Terex,L3400HST,Mini Excavator,2005,1901,L3400HST
John Deere,EX5600-6,Vibratory Compactor,2015,1265,EX5600-6
John Deere,ASC90PD,Disc,2017,1035,ASC90PD
Airman,IDEAL 7,Hydraulic Excavator,2019,1032,IDEAL7
JCB,AX 1000,Asphalt Paver,2004,1791,AX1000
John Deere,SW171387,Asphalt Paver,2006,1387,SW171387
Volvo,988H1731,Mini Excavator,2007,1731,988H1731
John Deere,LH830C,Wheel Loader,2018,1672,LH830C
Caterpillar,345B1826,4WD Tractor,2006,1826,345B1826
Yanmar,417 HT HL,Midi Excavator,2009,1908,417HTHL
Caterpillar,D3001974,Wheel Loader,2012,1974,D3001974
Caterpillar,EC140E,Crawler Tractor,2012,1224,EC140E
New Holland,MCT135D,4WD Tractor,2018,1498,MCT135D
Opico,CB334EXW,4WD Tractor,2002,1507,CB334EXW
AMCO,Grass Harrow 9.0,Cultivator,2015,1985,GrassHarrow9.0
New Holland,L90H1736,Crawler Tractor,2015,1736,L90H1736
Kobelco,20261889,Hydraulic Excavator,2015,1889,20261889
Massey Ferguson,MT745B,Mini Excavator,2001,1478,MT745B
ASV,302.51094,Log Loader,2009,1094,302.51094
New Holland,CA612D,MFWD Tractor,2018,1078,CA612D
John Deere,721G1773,Midi Excavator,2017,1773,721G1773
Burch,R40451164,Wheel Loader,2000,1164,R40451164
Caterpillar,310 Vario,2WD Tractor,2006,1618,310Vario
John Deere,JS160W,Mini Excavator,2006,1505,JS160W
Case,MT575B MFWD,Shovel,2012,1865,MT575BMFWD
Doosan,R75-71397,Disc,2019,1397,R75-71397
Case IH,F410A1783,Loader Backhoe,2007,1783,F410A1783
Landini,9570RT,Hydraulic Excavator,2006,1015,9570RT
Liebherr,M5N-091HDCC24,MFWD Tractor,2004,1213,M5N-091HDCC24
New Holland,CX20B ZTS,Wheel Loader,2015,1969,CX20BZTS
Kubota,M5-111HDRC,Combine,2018,1604,M5-111HDRC
New Holland,Hagie™ STS12,Feller Buncher,2007,1463,Hagie™STS12
Case IH,EX30-2,Utility Tractor,2012,1278,EX30-2
Volvo BM,FARMALL 80V VINEYARD,Utility Tractor,2013,1980,FARMALL80VVINEYARD
Caterpillar,36351971,Wheel Loader,2017,1971,36351971
Thomas,5539-58-16-10,Log Loader,2017,1824,5539-58-16-10
Landini,370C1075,Hydraulic Excavator,2000,1075,370C1075
John Deere,555E1641,Articulated Dump Truck,2014,1641,555E1641
Terex,GT75A1435,Hydraulic Excavator,2001,1435,GT75A1435
Caterpillar,5100ML,Crawler Tractor,2005,1835,5100ML
Dynapac,Arion 510,MFWD Tractor,2014,1282,Arion510
Ezee-On,DX530LC-5,Mini Excavator,2002,1817,DX530LC-5
Kawasaki,5710-40,4WD Tractor,2009,1957,5710-40
Liebherr,541 Series 2,Utility Tractor,2001,1576,541Series2
Bomag,A72N1760,Crawler Tractor,2014,1760,A72N1760
Bomag,MAXXUM 120 PRO,Forwarder,2004,1923,MAXXUM120PRO
Caterpillar,621EXR,Mini Excavator,2009,1481,621EXR
Kubota,305 CR,2WD Tractor,2018,1720,305CR
John Deere,HW3251890,Utility Tractor,2006,1890,HW3251890
Komatsu,MT655B,Mini Excavator,2000,1360,MT655B
JCB,350-1178,Vibratory Compactor,2001,1958,350-1178
Gehl,CC1300C PLUS,Wheel Loader,2006,1346,CC1300CPLUS
Top Air,250T1559,Crawler Tractor,2016,1559,250T1559
McCormick,750C LGP,Skidder,2014,1811,750CLGP
Massey Ferguson,Commander 4400 TWIN,Loader Backhoe,2008,1815,Commander4400TWIN
Case IH,540G Series III,2WD Tractor,2010,1676,540GSeriesIII
Washburn,D65E-6,Mini Excavator,2017,1782,D65E-6
Hagie,L190B1220,Cultivator,2015,1220,L190B1220
Salford,ZX180LC,Mini Excavator,2004,1899,ZX180LC
Ursus,HRB 453 DR,Mini Excavator,2015,1643,HRB453DR
Case,TA 1200 90ft,Disc,2004,1504,TA120090ft
AMCO,250G LC,4WD Tractor,2004,1177,250GLC
Caterpillar,GRW280-28,Vibratory Smooth Drum Roller,2005,1181,GRW280-28
Hamm,314D LCR,Mini Excavator,2013,1685,314DLCR
YTO,623G1009,2WD Tractor,2001,1009,623G1009
Burch,4995-31N,Skid Steer Loader,2016,1210,4995-31N
John Deere,1804LC,Vibratory Smooth Drum Roller,2019,1846,1804LC
Burch,613C Series II,Hydraulic Excavator,2013,1306,613CSeriesII
Caterpillar,PC210NLC-7,Articulated Dump Truck,2009,1790,PC210NLC-7
Case,EC140E,2WD Tractor,2001,1842,EC140E
Hitachi,L2131246,Skid Steer Loader,2000,1246,L2131246
Caterpillar,EB3061510,Skidder,2009,1510,EB3061510
Hitachi,T6040 Elite,Vibratory Smooth Drum Roller,2003,1871,T6040Elite
Caterpillar,WA320-6,4WD Tractor,2014,1306,WA320-6
John Deere,19c-11740,Wheel Loader,2007,1740,19c-11740
Terex,CP5631925,Disc,2018,1925,CP5631925
Hyundai,R210LC-7A High Chassis,Wheel Loader,2014,1796,R210LC-7AHighChassis
Caterpillar,HD465-7E0,Compactor,2010,1521,HD465-7E0
AGCO,317B L,MFWD Tractor,2018,1893,317BL
Kubota,BR750 All-Purpose,Midi Excavator,2004,1828,BR750All-Purpose
Kawasaki,5425 Narrow,Log Loader,2007,1186,5425Narrow
Kubota,1305M1773,Mini Excavator,2007,1773,1305M1773
Washburn,7400-46NR,4WD Tractor,2004,1590,7400-46NR
Caterpillar,18001400,Crawler Tractor,2013,1400,18001400
YTO,AX 850,4WD Tractor,2001,1819,AX850
Caterpillar,721G1781,Loader Backhoe,2011,1781,721G1781
Wacker Neuson,842III,Combine,2001,1313,842III
John Deere,ML481786,4WD Tractor,2018,1786,ML481786
Hesston,CA2500D,Vibratory Smooth Drum Roller,2010,1562,CA2500D
Dynapac,9520R1775,MFWD Tractor,2001,1775,9520R1775
Caterpillar,HRB 252,Midi Excavator,2017,1182,HRB252
McCormick,EX200LC,Wheel Loader,2011,1405,EX200LC
Hyundai,644D1188,Midi Excavator,2006,1188,644D1188
John Deere,315D L,4WD Tractor,2011,1214,315DL
Caterpillar,CB141229,4WD Tractor,2008,1229,CB141229
Komatsu,16481171,Skid Steer Loader,2014,1171,16481171
Komatsu,7400-24W,Disc,2003,1192,7400-24W
JCB,CR7.90,Skid Steer Loader,2009,1155,CR7.90
John Deere,D475A-5SD,Cultivator,2019,1128,D475A-5SD
Zettelmeyer,256C1302,Disc,2017,1302,256C1302
Case IH,355-1198,Motor Scraper,2017,1979,355-1198
Kobelco,PC270LC-8,4WD Tractor,2018,1697,PC270LC-8
Volvo,SH240-3,Hydraulic Excavator,2008,1976,SH240-3
Caterpillar,EW180B,Hydraulic Excavator,2013,1713,EW180B
John Deere,CR9.90,Wheel Loader,2006,1911,CR9.90
Liebherr,HD101587,Wheel Loader,2007,1587,HD101587
Ingersoll Rand,Martens 8 Bar,Wheel Loader,2008,1872,Martens8Bar
Landini,D575A-3SD,4WD Tractor,2006,1366,D575A-3SD
Case IH,9750 STS,Cultivator,2000,1253,9750STS
Case IH,M1201569,Vibratory Smooth Drum Roller,2003,1569,M1201569
Hamm,88701503,Hydraulic Excavator,2012,1503,88701503
Massey Ferguson,R130LC-3,4WD Tractor,2011,1464,R130LC-3
Great Plains,CLG908C,Combine,2012,1011,CLG908C
Krause,336FL1326,Cultivator,2011,1326,336FL1326
Caterpillar,355-1190,4WD Tractor,2012,1737,355-1190
Brown Mfg Corp,91801412,Loader Backhoe,2005,1412,91801412
Kubota,7720 140 PTO hp,Asphalt Paver,2016,1614,7720140PTOhp
Burch,55C1089,Crawler Tractor,2019,1089,55C1089
Bourgault,385C FS,Combine,2011,1730,385CFS
John Deere,PC450LC-6 MIGHTY,Skidder,2012,1172,PC450LC-6MIGHTY
John Deere,WA800-3,Skid Steer Loader,2011,1008,WA800-3
Massey Ferguson,Mistral 50,Motor Grader,2002,1124,Mistral50
Case,R210-7H,4WD Tractor,2019,1190,R210-7H
John Deere,212-1032,Mini Excavator,2016,1790,212-1032
Caterpillar,302.5C,Hydraulic Excavator,2015,1328,302.5C
New Holland,2210 Floating-Hitch 43.6ft,Hydraulic Excavator,2006,1138,2210Floating-Hitch43.6ft
Krause,TW501274,Multi Terrain Loader,2005,1274,TW501274
John Deere,33-11C,Skid Steer Loader,2006,1036,33-11C
Krause,63001874,Disc,2018,1874,63001874
Terex,280-1060,Hydraulic Excavator,2010,1720,280-1060
Terex,CP433B,4WD Tractor,2017,1991,CP433B
Caterpillar,AS 900,4WD Tractor,2012,1144,AS900
Terex,RP 535 Master,Crawler Tractor,2006,1742,RP535Master
Massey Ferguson,KX018-4H,Hydraulic Excavator,2002,1013,KX018-4H
Dynapac,7920 170 PTO hp,Hydraulic Excavator,2009,1510,7920170PTOhp
Krause,LB33B1871,Articulated Dump Truck,2017,1871,LB33B1871
Hesston,60721326,4WD Tractor,2010,1326,60721326
Caterpillar,MAGNUM 290 WHEELED PS OR CVT,4WD Tractor,2010,1195,MAGNUM290WHEELEDPSORCVT
Caterpillar,M1551901,Wheel Loader,2006,1901,M1551901
Challenger,Arion 620 C,Vibratory Smooth Drum Roller,2013,1173,Arion620C
Volvo,140M1617,Utility Tractor,2000,1617,140M1617
Kubota,903C21839,Loader Backhoe,2008,1839,903C21839
Challenger,84701530,Disc,2001,1530,84701530
John Deere,42501860,MFWD Tractor,2015,1860,42501860
Caterpillar,319D LN,Disc,2000,1472,319DLN
Terex,WA200PZ-6 Quick Coupler,Utility Tractor,2006,1121,WA200PZ-6QuickCoupler
New Holland,TD14M LT,4WD Tractor,2002,1907,TD14MLT
Dynapac,ZX245USLC-6,Wheel Loader,2011,1311,ZX245USLC-6
Case,D5M XL,Crawler Tractor,2017,1947,D5MXL
Goldoni,MC110C,Disc,2017,1227,MC110C
Case,Compact 3500C,Skidder,2017,1295,Compact3500C
IMT,544B1510,4WD Tractor,2013,1510,544B1510
Claas,BW151AD4HF,Vibratory Smooth Drum Roller,2012,1275,BW151AD4HF
JCB,80151302,Midi Excavator,2002,1302,80151302
New Holland,50G1864,Loader Backhoe,2007,1864,50G1864
Liebherr,TN60A1745,MFWD Tractor,2012,1745,TN60A1745
Liebherr,TT50A1405,Utility Tractor,2016,1405,TT50A1405
AGCO,R220LC-9A,Mini Excavator,2015,1217,R220LC-9A
Burch,F-41 2222,Hydraulic Excavator,2006,1385,F-412222
Agrale,6430 Cab Tractor,Baler,2001,1616,6430CabTractor
JCB,208 S1972,Wheel Loader,2014,1972,208S1972
Ezee-On,DD9H1691,Articulated Dump Truck,2008,1691,DD9H1691
John Deere,TJ3801595,Midi Excavator,2004,1595,TJ3801595
Case IH,MF 5365,Mini Excavator,2009,1946,MF5365
Kato,Discover XS 32,Mini Excavator,2014,1754,DiscoverXS32
